"","Species","MFU-52193-1395-d5","MFU-52193-1397-d1","MFU-52193-1403-d5","MFU-52193-1409-d1","MFU-52193-1423-d1","MFU-52193-1436-d1","MFU-52193-1445-d1","MFU-52193-1447-d5","MFU-52193-1457-d5","MFU-52193-1470-d1","MFU-52193-1472-d5","MFU-52193-1482-d1","MFU-52193-1485-d1","MFU-52193-1485-d5","MFU-52193-1495-d1","MFU-52193-1510-d5","MFU-52193-1517-d1","MFU-52193-1519-d5","MFU-52193-1525-d1","MFU-52193-1528-d5","MFU-52193-1530-d1","MFU-52193-1538-d1","MFU-52193-1542-d1","MFU-52193-1542-d5","MFU-52193-1547-d1","MFU-52193-1561-d5","MFU-52193-1571-d1","MFU-52193-1583-d1","MFU-52193-1585-d1","MFU-52193-1595-d1","MFU-52193-1598-d1","MFU-52193-1607-d1","MFU-52193-1621-d1","MFU-52193-1633-d1","MFU-52193-1647-d1","MFU-52193-1653-d1","MFU-52193-1662-d5","MFU-52193-1664-d1","MFU-52193-1678-d1","MFU-52193-1680-d1","MFU-52193-1690-d1","MFU-52193-1694-d1","MFU-52193-1704-d1","MFU-52193-1716-d1","MFU-52193-1733-d1","MFU-52193-1746-d1","MFU-52193-1755-d1","MFU-52193-1767-d1","MFU-52193-1769-d1","MFU-52193-1779-d1","MFU-52193-1782-d1","MFU-52193-1792-d1","MFU-52193-1794-d1","MFU-52193-1804-d1","MFU-52193-1806-d1","MFU-52193-1816-d1","MFU-52193-1828-d5","MFU-52193-1834-d1","MFU-52193-1836-d1","MFU-52193-1836-d5","MFU-52193-1840-d1","MFU-52193-1843-d1","MFU-52193-1843-d5","MFU-52193-1853-d1","MFU-52193-1867-d1","MFU-52193-1867-d5","MFU-52193-1877-d1","MFU-52193-1879-d1","MFU-52193-1879-d5","MFU-52193-1887-d1","MFU-52193-1892-d1","MFU-52193-1898-d1","MFU-52193-1904-d1","MFU-NTC-d1","MFU-positive-control-d1"
"1","Agonopsis vulsa",0,1057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Alosa sapidissima",0,687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1460,2678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,319,0,0,0,0
"3","Anarrhichthys ocellatus",0,0,0,0,0,0,1112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Anoplopoma fimbria",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1538,648,0,0,0,0,0,946,2885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2884,0,0,0
"5","Apristurus brunneus",0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Balaenoptera physalus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,374,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0
"7","Bathyagonus pentacanthus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0
"8","Beringraja binoculata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Bos taurus",0,0,0,10950,0,0,671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","Ceratoscopelus townsendi",0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
